iter	Passed	Remaining
0	17	4344
1	32	3972
2	46	3789
3	59	3667
4	72	3568
5	85	3458
6	96	3363
7	109	3309
8	119	3213
9	131	3145
10	142	3101
11	153	3044
12	165	3011
13	177	2995
14	190	2977
15	201	2950
16	214	2939
17	225	2912
18	237	2882
19	249	2867
20	261	2853
21	274	2849
22	287	2840
23	299	2815
24	311	2800
25	324	2791
26	335	2771
27	347	2758
28	357	2726
29	364	2671
30	371	2627
31	379	2587
32	386	2543
33	394	2507
34	400	2460
35	408	2428
36	414	2386
37	422	2359
38	429	2322
39	436	2294
40	444	2263
41	450	2228
42	458	2206
43	464	2175
44	472	2151
45	479	2124
46	486	2101
47	498	2096
48	511	2097
49	521	2085
50	528	2062
51	535	2039
52	543	2019
53	549	1995
54	557	1976
55	563	1952
56	571	1935
57	578	1916
58	586	1900
59	593	1880
60	599	1857
61	608	1844
62	614	1823
63	622	1810
64	633	1804
65	646	1802
66	655	1790
67	661	1771
68	670	1758
69	676	1740
70	683	1723
71	691	1708
72	697	1691
73	705	1677
74	711	1660
75	719	1648
76	727	1634
77	736	1624
78	743	1608
79	750	1595
80	757	1580
81	763	1564
82	772	1554
83	779	1540
84	789	1532
85	795	1517
86	803	1506
87	810	1492
88	819	1482
89	826	1468
90	833	1456
91	840	1443
92	848	1432
93	855	1420
94	861	1406
95	870	1395
96	876	1382
97	886	1374
98	898	1370
99	912	1369
100	926	1367
101	942	1366
102	957	1366
103	971	1364
104	985	1361
105	999	1358
106	1012	1353
107	1025	1347
108	1037	1342
109	1049	1336
110	1063	1331
111	1077	1327
112	1090	1321
113	1101	1313
114	1114	1308
115	1126	1301
116	1140	1296
117	1153	1289
118	1164	1282
119	1176	1274
120	1187	1266
121	1199	1258
122	1211	1251
123	1223	1243
124	1236	1236
125	1248	1229
126	1260	1220
127	1273	1213
128	1285	1205
129	1299	1199
130	1308	1188
131	1318	1178
132	1329	1169
133	1339	1159
134	1347	1148
135	1354	1135
136	1363	1124
137	1369	1111
138	1379	1101
139	1388	1091
140	1399	1081
141	1405	1069
142	1415	1058
143	1426	1049
144	1438	1041
145	1448	1031
146	1454	1019
147	1462	1007
148	1468	995
149	1471	981
150	1476	968
151	1479	954
152	1482	940
153	1489	928
154	1497	918
155	1501	905
156	1510	894
157	1513	881
158	1516	867
159	1519	854
160	1527	844
161	1533	833
162	1542	823
163	1548	812
164	1556	801
165	1563	791
166	1566	778
167	1568	765
168	1579	757
169	1589	748
170	1598	738
171	1605	728
172	1613	718
173	1619	707
174	1628	697
175	1635	687
176	1644	678
177	1651	667
178	1659	658
179	1664	647
180	1672	637
181	1680	628
182	1688	618
183	1696	608
184	1703	598
185	1712	589
186	1723	580
187	1730	570
188	1733	559
189	1743	550
190	1750	540
191	1758	531
192	1764	521
193	1773	511
194	1780	502
195	1788	492
196	1796	483
197	1805	474
198	1812	464
199	1825	456
200	1838	448
201	1849	439
202	1862	431
203	1874	422
204	1885	413
205	1897	405
206	1911	397
207	1925	388
208	1936	379
209	1949	371
210	1962	362
211	1975	354
212	1988	345
213	2001	336
214	2013	327
215	2026	318
216	2038	310
217	2049	300
218	2063	292
219	2076	283
220	2082	273
221	2087	263
222	2094	253
223	2103	244
224	2109	234
225	2117	224
226	2125	215
227	2132	205
228	2140	196
229	2147	186
230	2156	177
231	2165	168
232	2173	158
233	2181	149
234	2187	139
235	2195	130
236	2205	120
237	2211	111
238	2223	102
239	2231	92
240	2239	83
241	2246	74
242	2251	64
243	2256	55
244	2263	46
245	2271	36
246	2278	27
247	2288	18
248	2297	9
249	2305	0
