iter	Logloss
0	0.6712243375
1	0.6537295758
2	0.6380797976
3	0.6238016503
4	0.6112969731
5	0.5995425805
6	0.5881407439
7	0.5789834305
8	0.5708649277
9	0.562917853
10	0.5553197719
11	0.5495376448
12	0.5449411923
13	0.5402404927
14	0.53535928
15	0.5301933052
16	0.5258884689
17	0.5226841076
18	0.5194329928
19	0.5163390477
20	0.513924299
21	0.5106773445
22	0.5086761379
23	0.5063493306
24	0.504346971
25	0.5023823982
26	0.5003766193
27	0.4987393476
28	0.4969877361
29	0.4951955412
30	0.4938160799
31	0.4926680401
32	0.4916520654
33	0.4904033399
34	0.4889493363
35	0.4879928025
36	0.4870751758
37	0.4856726122
38	0.4844798307
39	0.4837487211
40	0.4829451544
41	0.4822236965
42	0.4811719433
43	0.4801550289
44	0.479329212
45	0.4785879636
46	0.4780735768
47	0.4775371101
48	0.4768282532
49	0.4761986438
50	0.4755224635
51	0.4746977492
52	0.4738210515
53	0.4732876328
54	0.4726571407
55	0.4721023663
56	0.4713707777
57	0.4708444772
58	0.470411666
59	0.4697343831
60	0.4693899669
61	0.469060323
62	0.468576559
63	0.4677848547
64	0.4673829328
65	0.4664863781
66	0.4659765707
67	0.4654037705
68	0.464826893
69	0.4638791247
70	0.4636465018
71	0.4633953916
72	0.4628197684
73	0.4623634101
74	0.4621239273
75	0.4616612938
76	0.4614645437
77	0.4611033855
78	0.4605644323
79	0.4600114426
80	0.4597378404
81	0.459233738
82	0.4590393815
83	0.4586632668
84	0.4582038332
85	0.4580277755
86	0.4578621616
87	0.4573901564
88	0.4571763996
89	0.4563474765
90	0.4559574219
91	0.4553186846
92	0.4549635003
93	0.4536707022
94	0.4535906646
95	0.453408564
96	0.4530066871
97	0.4520277383
98	0.4517333317
99	0.4515328836
100	0.4511689237
101	0.4509036807
102	0.4506056927
103	0.449950507
104	0.4493619212
105	0.449190249
106	0.4488430546
107	0.4482834627
108	0.4476399267
109	0.4471789248
110	0.4467207121
111	0.4461633953
112	0.4459710255
113	0.445660388
114	0.4451797454
115	0.4447932504
116	0.4444350494
117	0.4441402842
118	0.4440393854
119	0.4439173894
120	0.4435713489
121	0.443418429
122	0.4430279957
123	0.4427355297
124	0.4425172944
125	0.4424036066
126	0.4418421206
127	0.4415719407
128	0.4413904364
129	0.4411936849
130	0.4407882969
131	0.4402653448
132	0.4400794962
133	0.4394061404
134	0.4390609617
135	0.4388357926
136	0.4387006961
137	0.438635277
138	0.43850308
139	0.4381489581
140	0.4379983989
141	0.437818747
142	0.4375456374
143	0.4370944922
144	0.43680051
145	0.4365995219
146	0.4365101756
147	0.4364171947
148	0.4362970692
149	0.4359928564
150	0.4354866466
151	0.4353254152
152	0.4352074751
153	0.4349635016
154	0.4345325886
155	0.4344721627
156	0.4343298358
157	0.4341056141
158	0.43403956
159	0.4338462545
160	0.4337483409
161	0.4336374864
162	0.4334851023
163	0.4332966749
164	0.433171967
165	0.4330207973
166	0.4324865886
167	0.4324192829
168	0.4322549103
169	0.4319514948
170	0.4318128761
171	0.4316613225
172	0.4314891724
173	0.4313564732
174	0.431171757
175	0.4310266442
176	0.4307605433
177	0.4305475938
178	0.4302156458
179	0.4301207202
180	0.4299734397
181	0.429763775
182	0.4296638099
183	0.4295678171
184	0.4295057841
185	0.4293939587
186	0.4291907976
187	0.4290027698
188	0.4287832981
189	0.4285370825
190	0.4283431841
191	0.4278318628
192	0.4276088278
193	0.4274869143
194	0.4272096737
195	0.4268095231
196	0.4264738879
197	0.4262058292
198	0.4260813467
199	0.4259187437
200	0.4257193099
201	0.4256118515
202	0.4253774573
203	0.4252082588
204	0.4248831148
205	0.4245481247
206	0.4243459799
207	0.4241437306
208	0.4235983352
209	0.4234812349
210	0.4233097796
211	0.423219652
212	0.4228207003
213	0.4226510343
214	0.4225109581
215	0.4223153005
216	0.4220905174
217	0.4218519741
218	0.4216702724
219	0.4215626161
220	0.4214198375
221	0.4211829766
222	0.4208569137
223	0.4206318808
224	0.4203656399
225	0.4199819189
226	0.4197771913
227	0.4195675729
228	0.4190718143
229	0.4189636493
230	0.4186940375
231	0.4185757506
232	0.4182976607
233	0.4181087208
234	0.4179302391
235	0.417713822
236	0.417414914
237	0.4172071753
238	0.4168624339
239	0.4164999788
240	0.4161384086
241	0.4159276163
242	0.4156674921
243	0.4154310737
244	0.415329502
245	0.4149719656
246	0.414850435
247	0.4146090358
248	0.4144458908
249	0.4142103412
250	0.4139569905
251	0.4138464514
252	0.41370843
253	0.4134587734
254	0.4132908305
255	0.4130091105
256	0.4128757839
257	0.4127704109
258	0.4125779758
259	0.4124774159
260	0.4123860942
261	0.4122446661
262	0.4120496824
263	0.4116090008
264	0.4114753364
265	0.4113360167
266	0.4112325989
267	0.4111313593
268	0.4109427074
269	0.4107612841
270	0.4106525918
271	0.4105567513
272	0.4104965328
273	0.410351825
274	0.41026006
275	0.4098619564
276	0.4097768568
277	0.4096542279
278	0.4094415937
279	0.4093116168
280	0.4090743753
281	0.4089102042
282	0.4088033649
283	0.4085637041
284	0.4080846788
285	0.4079222829
286	0.4076633217
287	0.4074743892
288	0.4072838085
289	0.4071181772
290	0.407014594
291	0.4067833128
292	0.4066287086
293	0.4065201547
294	0.4064027286
295	0.4063431771
296	0.4062741707
297	0.4061615866
298	0.4059270871
299	0.4058583096
300	0.4057133379
301	0.4056125182
302	0.4054808353
303	0.4054137007
304	0.4051758998
305	0.4051172057
306	0.4050056521
307	0.4048721808
308	0.4047286616
309	0.4044925644
310	0.4043451639
311	0.4042551529
312	0.4040577837
313	0.403940262
314	0.4038321324
315	0.4036986584
316	0.4035636585
317	0.4034561043
318	0.4032904434
319	0.4031893739
320	0.403116155
321	0.403044723
322	0.4028808552
323	0.4027795419
324	0.4026238125
325	0.4023707992
326	0.40226059
327	0.4021592727
328	0.4020708039
329	0.4020227489
330	0.4019657126
331	0.4018606332
332	0.4017254683
333	0.4015939715
334	0.4015315071
335	0.4014105324
336	0.401315942
337	0.401252275
338	0.4011852792
339	0.4011308228
340	0.4010705289
341	0.4010188505
342	0.4009392452
343	0.4008820722
344	0.4008428404
345	0.4007642296
346	0.4006513393
347	0.4005570342
348	0.400492266
349	0.4003601421
350	0.4003019668
351	0.400236622
352	0.4001224381
353	0.400052255
354	0.3999775535
355	0.3998444494
356	0.3997684465
357	0.3995436666
358	0.3994836367
359	0.3993369285
360	0.3992422975
361	0.3991403945
362	0.3989824628
363	0.3988881264
364	0.3987528309
365	0.3987017329
366	0.3985706851
367	0.3984210077
368	0.3983119344
369	0.3982571984
370	0.3981289776
371	0.3979457204
372	0.3979021136
373	0.3977908815
374	0.3976844322
375	0.3975939344
376	0.3975254796
377	0.3974090947
378	0.3973379375
379	0.3972496601
380	0.3972078918
381	0.3971381806
382	0.3970473856
383	0.3969942519
384	0.396822898
385	0.3967391496
386	0.3966455437
387	0.3965690409
388	0.3965203772
389	0.3963869127
390	0.3962894005
391	0.3962275317
392	0.3960853075
393	0.3960209334
394	0.3958993552
395	0.3957131936
396	0.3956148625
397	0.3954917745
398	0.3954470433
399	0.3953740999
400	0.3953171788
401	0.3952224345
402	0.3951237305
403	0.3950288164
404	0.3949557948
405	0.3949074067
406	0.3948484992
407	0.3947677933
408	0.3947109249
409	0.3946619629
410	0.3945626083
411	0.3944507626
412	0.3944043441
413	0.3943258657
414	0.3942420366
415	0.3941488611
416	0.3940709953
417	0.3940334984
418	0.3938655868
419	0.3938080386
420	0.3937145884
421	0.3936539885
422	0.3936047735
423	0.3935067978
424	0.393453041
425	0.3933577906
426	0.3933266005
427	0.3932590981
428	0.3931905332
429	0.3931098865
430	0.3930444687
431	0.3929703778
432	0.3928714592
433	0.3927774633
434	0.3926951358
435	0.3926226608
436	0.3925241875
437	0.392426399
438	0.3923556134
439	0.3922808357
440	0.3922419131
441	0.3921815655
442	0.3920875025
443	0.3920068981
444	0.391955991
445	0.3918567686
446	0.3917984279
447	0.3917452205
448	0.391690757
449	0.3915954473
450	0.3915165868
451	0.391478352
452	0.391399124
453	0.3913422701
454	0.3912648053
455	0.3911907945
456	0.391134378
457	0.3910902643
458	0.3910374525
459	0.390950153
460	0.390905306
461	0.3908174698
462	0.3907306152
463	0.390619237
464	0.3905291515
465	0.390478569
466	0.3904279646
467	0.390349633
468	0.3902952895
469	0.3902127115
470	0.3901417541
471	0.3900234825
472	0.3899452307
473	0.3898833532
474	0.3898044465
475	0.3897374099
476	0.3896665743
477	0.3894974606
478	0.389439612
