iter	Passed	Remaining
0	70	70429
1	88	44316
2	105	35062
3	121	30145
4	136	27242
5	148	24643
6	159	22597
7	171	21303
8	185	20371
9	196	19411
10	207	18617
11	220	18177
12	236	17962
13	254	17899
14	267	17560
15	283	17439
16	298	17277
17	314	17139
18	330	17039
19	346	16991
20	360	16826
21	377	16772
22	393	16734
23	408	16619
24	427	16661
25	441	16538
26	457	16487
27	476	16529
28	492	16496
29	509	16479
30	527	16483
31	545	16488
32	563	16498
33	577	16403
34	594	16392
35	613	16421
36	629	16390
37	643	16295
38	662	16322
39	680	16323
40	698	16333
41	717	16370
42	735	16360
43	756	16446
44	778	16528
45	808	16761
46	832	16877
47	854	16940
48	873	16945
49	889	16906
50	906	16874
51	922	16824
52	939	16792
53	956	16751
54	973	16719
55	991	16717
56	1008	16690
57	1025	16660
58	1043	16636
59	1059	16595
60	1077	16578
61	1092	16530
62	1108	16486
63	1126	16471
64	1144	16457
65	1160	16418
66	1176	16387
67	1193	16361
68	1211	16342
69	1229	16337
70	1245	16290
71	1260	16247
72	1276	16212
73	1290	16150
74	1308	16140
75	1326	16121
76	1342	16094
77	1360	16080
78	1378	16071
79	1395	16048
80	1412	16028
81	1430	16014
82	1447	15993
83	1464	15975
84	1478	15912
85	1496	15906
86	1512	15876
87	1529	15851
88	1549	15859
89	1566	15842
90	1584	15825
91	1603	15821
92	1623	15829
93	1640	15815
94	1651	15729
95	1667	15699
96	1684	15678
97	1702	15668
98	1721	15666
99	1736	15627
100	1753	15607
101	1770	15584
102	1784	15537
103	1800	15516
104	1817	15489
105	1834	15475
106	1850	15440
107	1870	15445
108	1889	15442
109	1906	15429
110	1924	15412
111	1940	15389
112	1957	15368
113	1976	15357
114	1995	15356
115	2014	15354
116	2033	15344
117	2052	15340
118	2071	15333
119	2090	15332
120	2104	15291
121	2123	15282
122	2142	15274
123	2161	15266
124	2181	15271
125	2200	15261
126	2218	15249
127	2237	15240
128	2257	15242
129	2276	15232
130	2294	15220
131	2311	15199
132	2329	15187
133	2348	15175
134	2362	15139
135	2380	15123
136	2398	15107
137	2416	15092
138	2434	15080
139	2452	15063
140	2468	15040
141	2485	15018
142	2502	14995
143	2519	14974
144	2537	14965
145	2555	14945
146	2573	14933
147	2590	14913
148	2609	14906
149	2630	14904
150	2650	14900
151	2667	14883
152	2685	14866
153	2704	14854
154	2722	14842
155	2741	14831
156	2760	14824
157	2780	14818
158	2798	14801
159	2817	14790
160	2835	14775
161	2852	14754
162	2870	14739
163	2886	14714
164	2904	14696
165	2921	14679
166	2940	14668
167	2958	14652
168	2971	14610
169	2988	14592
170	3005	14570
171	3022	14551
172	3041	14538
173	3060	14526
174	3077	14508
175	3093	14481
176	3112	14471
177	3129	14450
178	3146	14431
179	3163	14412
180	3176	14371
181	3194	14359
182	3213	14344
183	3231	14332
184	3249	14316
185	3267	14301
186	3285	14284
187	3303	14266
188	3320	14249
189	3339	14235
190	3356	14217
191	3374	14200
192	3392	14184
193	3409	14165
194	3425	14142
195	3443	14125
196	3460	14105
197	3478	14090
198	3494	14063
199	3510	14042
200	3528	14026
201	3545	14007
202	3561	13981
203	3577	13959
204	3593	13934
205	3607	13904
206	3625	13888
207	3642	13869
208	3660	13853
209	3677	13833
210	3695	13816
211	3712	13798
212	3729	13780
213	3746	13759
214	3762	13739
215	3780	13722
216	3798	13704
217	3816	13691
218	3834	13673
219	3851	13656
220	3869	13640
221	3886	13618
222	3899	13587
223	3914	13561
224	3933	13548
225	3949	13525
226	3967	13511
227	3986	13497
228	4004	13481
229	4024	13471
230	4042	13458
231	4061	13443
232	4079	13428
233	4098	13417
234	4118	13408
235	4139	13402
236	4161	13397
237	4180	13383
238	4197	13366
239	4217	13356
240	4236	13343
241	4255	13329
242	4272	13309
243	4290	13293
244	4308	13277
245	4328	13266
246	4346	13251
247	4366	13239
248	4383	13222
249	4402	13206
250	4421	13193
251	4436	13168
252	4455	13153
253	4473	13139
254	4491	13122
255	4511	13111
256	4530	13098
257	4551	13089
258	4570	13076
259	4591	13069
260	4610	13055
261	4629	13039
262	4647	13024
263	4665	13008
264	4683	12991
265	4701	12974
266	4720	12960
267	4737	12938
268	4752	12915
269	4770	12899
270	4788	12881
271	4807	12867
272	4826	12852
273	4844	12835
274	4861	12816
275	4879	12799
276	4898	12785
277	4918	12774
278	4934	12751
279	4952	12734
280	4971	12719
281	4989	12704
282	5008	12688
283	5026	12672
284	5044	12656
285	5063	12641
286	5081	12624
287	5099	12607
288	5118	12591
289	5136	12575
290	5155	12560
291	5172	12541
292	5190	12525
293	5211	12514
294	5229	12497
295	5248	12482
296	5269	12471
297	5287	12455
298	5304	12437
299	5323	12421
300	5341	12403
301	5359	12386
302	5376	12367
303	5393	12347
304	5402	12310
305	5413	12277
306	5423	12242
307	5432	12206
308	5440	12166
309	5448	12127
310	5459	12095
311	5469	12059
312	5478	12025
313	5489	11992
314	5500	11961
315	5513	11934
316	5523	11901
317	5533	11867
318	5546	11839
319	5556	11808
320	5567	11775
321	5576	11742
322	5585	11708
323	5599	11683
324	5611	11653
325	5621	11622
326	5630	11587
327	5641	11558
328	5650	11524
329	5660	11493
330	5671	11462
331	5680	11430
332	5691	11399
333	5702	11371
334	5712	11340
335	5723	11309
336	5732	11277
337	5744	11250
338	5754	11221
339	5765	11191
340	5775	11161
341	5787	11135
342	5797	11104
343	5808	11076
344	5818	11046
345	5828	11017
346	5840	10990
347	5849	10959
348	5859	10930
349	5869	10901
350	5880	10872
351	5891	10846
352	5903	10821
353	5912	10789
354	5921	10758
355	5928	10725
356	5939	10698
357	5948	10667
358	5957	10637
359	5965	10605
360	5974	10574
361	5984	10546
362	5994	10519
363	6006	10495
364	6015	10464
365	6023	10434
366	6033	10406
367	6043	10378
368	6052	10349
369	6061	10320
370	6070	10291
371	6078	10262
372	6089	10236
373	6099	10208
374	6106	10177
375	6115	10149
376	6123	10119
377	6134	10094
378	6142	10064
379	6152	10038
380	6160	10009
381	6170	9981
382	6178	9952
383	6189	9928
384	6198	9902
385	6207	9873
386	6216	9846
387	6224	9818
388	6235	9793
389	6243	9765
390	6253	9739
391	6261	9712
392	6270	9684
393	6279	9657
394	6289	9633
395	6301	9610
396	6309	9583
397	6317	9555
398	6325	9527
399	6335	9502
400	6344	9476
401	6352	9450
402	6362	9425
403	6370	9398
404	6382	9377
405	6394	9356
406	6404	9331
407	6415	9308
408	6424	9283
409	6435	9261
410	6446	9238
411	6455	9212
412	6465	9189
413	6473	9163
414	6485	9141
415	6497	9121
416	6507	9097
417	6516	9073
418	6527	9050
419	6536	9026
420	6547	9004
421	6556	8979
422	6567	8958
423	6578	8936
424	6592	8918
425	6603	8897
426	6612	8874
427	6622	8850
428	6633	8828
429	6644	8807
430	6657	8789
431	6676	8777
432	6693	8765
433	6704	8743
434	6714	8721
435	6725	8699
436	6735	8677
437	6746	8655
438	6755	8632
439	6765	8610
440	6776	8589
441	6787	8568
442	6799	8549
443	6810	8528
444	6819	8505
445	6831	8485
446	6842	8464
447	6850	8441
448	6860	8419
449	6870	8396
450	6882	8377
451	6893	8357
452	6902	8335
453	6911	8312
454	6919	8288
455	6931	8268
456	6940	8246
457	6948	8223
458	6957	8200
459	6966	8177
460	6976	8157
461	6985	8134
462	6997	8116
463	7007	8094
464	7015	8071
465	7025	8051
466	7034	8028
467	7043	8007
468	7052	7985
469	7061	7962
470	7071	7942
471	7080	7920
472	7089	7899
473	7097	7876
474	7106	7854
475	7114	7832
476	7125	7812
477	7134	7791
478	7143	7770
479	7152	7748
480	7160	7725
481	7170	7705
482	7179	7685
483	7190	7665
484	7198	7643
485	7207	7623
486	7216	7601
487	7226	7582
488	7236	7561
489	7244	7540
490	7253	7519
491	7262	7498
492	7272	7478
493	7280	7457
494	7292	7439
495	7301	7419
496	7310	7398
497	7320	7379
498	7329	7358
499	7339	7339
500	7347	7318
501	7356	7298
502	7366	7278
503	7375	7258
504	7384	7238
505	7392	7217
506	7402	7197
507	7409	7176
508	7419	7157
509	7428	7136
510	7437	7117
511	7445	7096
512	7454	7077
513	7466	7059
514	7476	7040
515	7489	7024
516	7499	7006
517	7508	6986
518	7519	6969
519	7530	6951
520	7538	6931
521	7549	6913
522	7558	6893
523	7571	6878
524	7588	6865
525	7603	6851
526	7620	6839
527	7636	6826
528	7650	6811
529	7666	6798
530	7682	6785
531	7696	6770
532	7712	6757
533	7727	6743
534	7736	6724
535	7745	6704
536	7753	6685
537	7763	6667
538	7772	6648
539	7783	6630
540	7792	6611
541	7801	6592
542	7811	6574
543	7819	6554
544	7829	6536
545	7838	6517
546	7847	6498
547	7855	6479
548	7865	6461
549	7874	6442
550	7883	6424
551	7893	6406
552	7901	6387
553	7912	6370
554	7921	6351
555	7930	6333
556	7939	6314
557	7948	6296
558	7956	6277
559	7968	6260
560	7980	6245
561	7989	6226
562	7998	6208
563	8007	6190
564	8017	6172
565	8026	6154
566	8035	6136
567	8044	6118
568	8052	6099
569	8063	6082
570	8072	6064
571	8081	6046
572	8090	6029
573	8099	6010
574	8109	5994
575	8117	5975
576	8127	5958
577	8135	5939
578	8143	5921
579	8151	5903
580	8161	5885
581	8170	5868
582	8179	5850
583	8189	5833
584	8198	5815
585	8208	5798
586	8216	5780
587	8225	5763
588	8233	5745
589	8243	5728
590	8251	5710
591	8262	5694
592	8272	5677
593	8281	5660
594	8290	5643
595	8298	5625
596	8309	5609
597	8318	5591
598	8327	5575
599	8336	5557
600	8345	5540
601	8355	5523
602	8365	5507
603	8375	5491
604	8384	5474
605	8393	5456
606	8402	5440
607	8412	5423
608	8421	5406
609	8429	5389
610	8438	5372
611	8447	5355
612	8457	5339
613	8466	5322
614	8478	5307
615	8488	5291
616	8496	5273
617	8506	5258
618	8515	5241
619	8524	5224
620	8534	5208
621	8542	5191
622	8552	5175
623	8561	5158
624	8570	5142
625	8579	5125
626	8588	5109
627	8596	5092
628	8607	5076
629	8617	5061
630	8626	5044
631	8635	5028
632	8643	5011
633	8654	4996
634	8664	4980
635	8673	4963
636	8682	4947
637	8690	4930
638	8700	4915
639	8708	4898
640	8718	4882
641	8727	4866
642	8736	4850
643	8745	4834
644	8756	4819
645	8768	4804
646	8776	4788
647	8785	4772
648	8794	4756
649	8804	4741
650	8814	4725
651	8823	4709
652	8832	4693
653	8840	4677
654	8850	4661
655	8858	4645
656	8869	4630
657	8877	4613
658	8886	4598
659	8895	4582
660	8905	4567
661	8915	4551
662	8923	4535
663	8932	4520
664	8941	4504
665	8951	4489
666	8962	4474
667	8972	4459
668	8982	4444
669	8990	4428
670	9001	4413
671	9010	4398
672	9019	4382
673	9028	4366
674	9037	4351
675	9048	4336
676	9056	4321
677	9066	4306
678	9075	4290
679	9083	4274
680	9093	4259
681	9102	4244
682	9112	4229
683	9120	4213
684	9129	4198
685	9138	4182
686	9150	4168
687	9160	4154
688	9168	4138
689	9177	4123
690	9186	4107
691	9197	4093
692	9206	4078
693	9215	4063
694	9224	4048
695	9233	4032
696	9243	4018
697	9251	4002
698	9262	3988
699	9271	3973
700	9280	3958
701	9289	3943
702	9299	3928
703	9309	3914
704	9317	3898
705	9326	3883
706	9335	3868
707	9345	3854
708	9353	3839
709	9363	3824
710	9372	3809
711	9381	3794
712	9391	3780
713	9400	3765
714	9409	3750
715	9418	3735
716	9427	3720
717	9435	3705
718	9445	3691
719	9455	3677
720	9466	3663
721	9476	3648
722	9484	3633
723	9495	3619
724	9505	3605
725	9515	3591
726	9524	3576
727	9533	3562
728	9546	3548
729	9557	3535
730	9566	3520
731	9576	3506
732	9585	3491
733	9596	3477
734	9606	3463
735	9615	3448
736	9624	3434
737	9633	3420
738	9645	3406
739	9656	3392
740	9664	3378
741	9674	3363
742	9683	3349
743	9695	3336
744	9703	3321
745	9712	3306
746	9722	3292
747	9732	3278
748	9742	3264
749	9754	3251
750	9763	3237
751	9773	3223
752	9782	3208
753	9794	3195
754	9805	3181
755	9815	3167
756	9824	3153
757	9834	3139
758	9844	3125
759	9855	3112
760	9864	3098
761	9873	3083
762	9882	3069
763	9892	3055
764	9902	3041
765	9911	3027
766	9920	3013
767	9929	2999
768	9942	2986
769	9954	2973
770	9963	2959
771	9972	2945
772	9982	2931
773	9991	2917
774	10001	2903
775	10010	2889
776	10020	2875
777	10029	2861
778	10040	2848
779	10050	2834
780	10059	2820
781	10068	2806
782	10077	2792
783	10088	2779
784	10098	2765
785	10106	2751
786	10116	2738
787	10125	2724
788	10135	2710
789	10146	2697
790	10155	2683
791	10165	2669
792	10173	2655
793	10184	2642
794	10194	2628
795	10203	2614
796	10210	2600
797	10220	2587
798	10230	2573
799	10239	2559
800	10250	2546
801	10259	2532
802	10269	2519
803	10278	2505
804	10287	2492
805	10297	2478
806	10306	2464
807	10320	2452
808	10336	2440
809	10344	2426
810	10352	2412
811	10362	2399
812	10370	2385
813	10380	2372
814	10387	2357
815	10397	2344
816	10406	2330
817	10415	2317
818	10425	2304
819	10435	2290
820	10447	2277
821	10456	2264
822	10465	2250
823	10474	2237
824	10484	2224
825	10494	2210
826	10503	2197
827	10513	2183
828	10521	2170
829	10533	2157
830	10542	2144
831	10551	2130
832	10560	2117
833	10568	2103
834	10580	2090
835	10589	2077
836	10598	2063
837	10607	2050
838	10616	2037
839	10626	2024
840	10636	2010
841	10646	1997
842	10655	1984
843	10664	1971
844	10674	1958
845	10683	1944
846	10694	1931
847	10702	1918
848	10712	1905
849	10722	1892
850	10733	1879
851	10744	1866
852	10754	1853
853	10763	1840
854	10774	1827
855	10782	1813
856	10793	1800
857	10802	1787
858	10811	1774
859	10821	1761
860	10831	1748
861	10841	1735
862	10850	1722
863	10860	1709
864	10869	1696
865	10879	1683
866	10889	1670
867	10897	1657
868	10906	1644
869	10915	1631
870	10925	1618
871	10935	1605
872	10946	1592
873	10955	1579
874	10964	1566
875	10974	1553
876	10983	1540
877	10992	1527
878	11001	1514
879	11010	1501
880	11020	1488
881	11029	1475
882	11038	1462
883	11047	1449
884	11056	1436
885	11065	1423
886	11077	1411
887	11088	1398
888	11097	1385
889	11108	1372
890	11114	1359
891	11127	1347
892	11138	1334
893	11146	1321
894	11156	1308
895	11168	1296
896	11177	1283
897	11188	1270
898	11197	1257
899	11206	1245
900	11217	1232
901	11227	1219
902	11240	1207
903	11250	1194
904	11259	1181
905	11270	1169
906	11281	1156
907	11291	1144
908	11301	1131
909	11311	1118
910	11322	1106
911	11332	1093
912	11341	1080
913	11351	1068
914	11362	1055
915	11373	1043
916	11384	1030
917	11393	1017
918	11404	1005
919	11415	992
920	11426	980
921	11439	967
922	11449	955
923	11458	942
924	11470	930
925	11481	917
926	11491	904
927	11502	892
928	11514	879
929	11524	867
930	11535	854
931	11547	842
932	11556	829
933	11568	817
934	11578	804
935	11587	792
936	11598	779
937	11607	767
938	11619	754
939	11630	742
940	11640	729
941	11649	717
942	11660	704
943	11668	692
944	11680	679
945	11688	667
946	11703	654
947	11721	642
948	11736	630
949	11747	618
950	11756	605
951	11768	593
952	11779	580
953	11788	568
954	11798	555
955	11809	543
956	11820	531
957	11831	518
958	11840	506
959	11849	493
960	11858	481
961	11868	468
962	11877	456
963	11886	443
964	11895	431
965	11903	418
966	11915	406
967	11926	394
968	11936	381
969	11945	369
970	11953	357
971	11964	344
972	11974	332
973	11982	319
974	11992	307
975	12000	295
976	12010	282
977	12019	270
978	12028	258
979	12037	245
980	12046	233
981	12055	220
982	12064	208
983	12074	196
984	12082	184
985	12092	171
986	12100	159
987	12111	147
988	12121	134
989	12129	122
990	12138	110
991	12147	97
992	12156	85
993	12165	73
994	12175	61
995	12184	48
996	12193	36
997	12202	24
998	12212	12
999	12223	0
